time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-08-27,19.580606,26.789867,22.472343,17.388214,16.34198,31.182854,52.172016,17.27972
2022-08-28,19.538214,26.54052,22.427887,14.4990015,18.464396,36.736176,52.927586,17.27972
2022-08-29,19.538214,26.54052,22.427887,14.4990015,18.464396,36.736176,52.927586,17.27972
2022-08-30,19.538214,26.715302,22.506405,4.4703946,18.671745,39.925858,52.11373,17.501963
2022-08-31,19.538214,26.871563,22.506405,5.2436123,17.02047,35.773045,50.568348,17.501963
2022-09-01,19.538214,26.871563,22.506405,5.2436123,17.02047,35.773045,50.568348,17.501963
2022-09-02,19.538214,26.871563,22.290852,8.916235,16.852707,36.994045,54.02901,16.679333
2022-09-03,19.519833,26.48676,22.246325,9.037136,17.169548,37.550186,54.02901,15.50715
2022-09-04,19.519833,26.564257,22.246325,9.037136,18.824999,41.795834,54.02901,15.50715
2022-09-05,19.519833,26.564257,22.246325,9.037136,18.824999,41.795834,54.02901,15.50715
2022-09-06,19.508917,26.564257,22.269825,4.744651,21.17126,43.52718,53.696484,15.50715
2022-09-07,19.508131,26.68076,22.343845,5.14788,21.61493,44.03097,53.20003,17.520592
2022-09-08,19.508131,26.68076,22.343845,5.14788,21.61493,44.03097,53.20003,17.520592
2022-09-09,19.491371,26.886312,22.55532,4.714116,22.725233,46.26599,53.20003,17.87051
2022-09-10,19.498032,26.846123,22.504599,3.7084365,22.725233,46.26599,53.603207,16.94583
2022-09-11,19.498032,26.846123,22.504599,3.7084365,22.725233,46.26599,53.603207,16.94583
2022-09-12,19.559479,26.659597,22.456768,2.9511247,23.335562,47.48937,52.93572,16.94583
2022-09-13,19.559479,27.041616,22.700775,2.8221428,23.335562,47.48937,52.93572,16.81682
2022-09-14,19.559479,27.331387,22.76077,2.8221428,20.450579,40.610847,53.81224,19.43924
2022-09-15,19.559479,27.331387,22.76077,2.8221428,20.450579,40.610847,53.81224,19.43924
2022-09-16,19.530758,27.330637,22.823812,2.8221428,18.257719,35.972218,53.81224,19.71813
2022-09-17,19.554565,27.476622,22.995003,2.8356335,15.877046,33.90651,51.5761,19.928986
2022-09-18,19.554565,27.476622,22.995003,2.8356335,15.877046,33.90651,51.5761,19.928986
2022-09-19,19.653112,27.476622,22.995003,3.6441243,15.877046,34.231533,53.451183,20.066345
2022-09-20,19.538818,27.510519,22.981539,2.5457706,17.144854,35.493153,53.309433,20.161581
2022-09-21,19.538818,27.510519,22.981539,2.5457706,17.144854,35.493153,53.309433,20.161581
2022-09-22,19.431986,27.510519,22.93268,2.5457706,19.190392,37.970028,53.598343,18.10344
2022-09-23,19.428432,27.274263,22.753195,3.2433023,19.067753,38.624214,56.84896,18.288677
2022-09-24,19.447123,27.237469,22.753195,5.6867976,16.719889,34.757866,58.054417,17.89648
2022-09-25,19.447123,27.237469,22.753195,5.6867976,16.719889,34.757866,58.054417,17.89648
2022-09-26,19.468382,27.065601,22.753195,4.6690617,16.888935,35.026993,58.65422,17.89648
2022-09-27,19.44028,26.9775,22.667364,3.6294374,18.216217,33.38348,58.21567,17.368202
2022-09-28,19.44028,26.9775,22.667364,3.6294374,18.216217,33.38348,58.21567,17.368202
2022-09-29,19.44028,27.004326,22.692614,3.4565687,16.79676,32.31971,58.144547,17.594816
2022-09-30,19.44028,27.004326,22.692614,7.282525,14.555327,30.518463,58.78068,17.144608
2022-10-01,19.44028,27.004326,22.692614,7.282525,14.555327,30.518463,58.78068,17.144608
2022-10-02,19.430656,27.09014,22.74039,6.3421316,14.555327,30.518463,56.72703,17.751701
